date,work,timing
"February 9, 2025","Ugh, should complete tody",7
"February 8, 2025",Work harder,12
"February 7, 2025",game plan,7
"February 6, 2025","Spanish exam, RR feature added",1
"February 5, 2025","Numberical Methods ",0
"February 4, 2025",Abstract Algebra Exam,0
"February 3, 2025","mid-sem Abstract Algebra ",0
"February 2, 2025","worked, did final touches and commited",2
"February 1, 2025","Fixed, scoring problems,",4
"January 31, 2025",Completed Scoring,2
"January 30, 2025","implemented, Schedule matches",2.5
"January 29, 2025","Schedule matches, point scoring ",3
"January 28, 2025",KO create matches,3.5
"January 27, 2025",KO utils,2
"January 26, 2025","views, apis ",6
"January 25, 2025",create apis and form pages,3
"January 24, 2025","workaholic, ",5
"January 23, 2025",Creating plan to include multiple sports,2
"January 22, 2025","book-me UI, implement other sports",3
"January 21, 2025","fixed fixture diagram, ",3
"January 20, 2025","created apis fr turf site,",2
"January 19, 2025","more fun, WORK HARD",2
"January 18, 2025","NO WORK, Trip (Hogenakkal)",0
"January 17, 2025","didnt work, had trip works",1
"January 16, 2025","Turf site- integration, diagram almost done.",4
"January 15, 2025","Turf site, ",2
"January 14, 2025","implement ko diagram render, ",3
"January 13, 2025","didn’t work that much, fixing ko diagram manual",1
"January 12, 2025","ko json fix, turf planning",4
"January 11, 2025","fix ko logic again, and implement ko diagram",2
"January 10, 2025","implementing ko fixture json, handler",3
"January 9, 2025",trying to fix KO fixture diagram,2
"January 8, 2025","Fixed KO logic, ",2
"January 7, 2025","learn react, GH edu tools & fix KO ",2
"January 6, 2025","pending testing, learn react, supabase",2
"January 5, 2025",Testing site’s functionality's  & work on HomeLab,4.5
"January 4, 2025",Fix deployment errors,4
"January 3, 2025",yesterday’s work,3
"January 2, 2025",didnt even work tdy,1
"January 1, 2025","Video editing, Workflow setup, prepare fr deployment",4